id1,id2,ratio
01001_AM,39056_AM,0.0026702159826722
01001_AM,48011,0.0012290942363359
01001_AM,4801305,0.0016041255546025
01001_AM,4804403,0.0026702159826722
01001_AM,48045_AM,0.0017469946282278
01001_AM,48086_AM,0.0017469946282278
01001_AM,48094_AM,0.0026702159826722
01001_AM,48902,0.0012290942363359
01001_AM,50181_AM,0.0016041255546025
01001_AM,5029711,0.0026702159826722
01002,48003,0.0068396257725105
01002,48011,0.0102594386587657
01002,4801309,0.0034198128862552
01002,48015,0.0068396257725105
01002,48019_AM,0.0034198128862552
01002,4802001,0.0034198128862552
01002,4802002,0.0068396257725105
01002,4802003,0.0034198128862552
01002,4802005,0.013679251545021
01002,4802006,0.0170990644312763
01002,48029,0.0034198128862552
01002,48036,0.0102594386587657
01002,48054,0.0034198128862552
01002,48065_AM,0.0170990644312763
01002,48074,0.013679251545021
01002,48075_AM,0.0102594386587657
01002,48078,0.0034198128862552
01002,48082,0.0034198128862552
01002,48090,0.0034198128862552
01002,48094_AM,0.0068396257725105
01002,48901,0.0034198128862552
01002,48904_AM,0.0034198128862552
01002,48905_AM,0.0034198128862552
01002,48910_AM,0.0034198128862552
01010_AM,39020_AM,0.0045516366502438
01010_AM,48002,0.0032802672785504
01010_AM,48011,0.0051596220474027
01010_AM,4801302,0.0032802672785504
01010_AM,4802001,0.0097112586976466
01010_AM,4802002,0.0084398893259532
01010_AM,4802003,0.0065605345571009
01010_AM,4802005,0.019552060533298
01010_AM,4802006,0.0182806911616046
01010_AM,4802007,0.0078319039287943
01010_AM,4802008,0.0091032733004877
01010_AM,48022_AM,0.0032802672785504
01010_AM,48029,0.0051596220474027
01010_AM,48036,0.0097112586976466
01010_AM,4804403,0.0032802672785504
01010_AM,48045_AM,0.026112595090399
01010_AM,48065_AM,0.0135995113733559
01010_AM,48071_AM,0.0032802672785504
01010_AM,48074,0.0542685023554188
01010_AM,48075_AM,0.0136549099507316
01010_AM,48080,0.0111121712073448
01010_AM,48082,0.0117201566045036
01010_AM,48084,0.0051596220474027
01010_AM,48086_AM,0.0065605345571009
01010_AM,48089_AM,0.0032802672785504
01010_AM,48090,0.0111121712073448
01010_AM,48095_AM,0.0051596220474027
01010_AM,48902,0.0045516366502438
01010_AM,48905_AM,0.0032802672785504
01031_AM,4801305,0.0044854449910917
01036,39016,0.001110945580996
01036,39020_AM,0.001110945580996
01036,3908702_AD,0.001110945580996
01036,48002,0.001110945580996
01036,48003,0.0066656734859765
01036,48011,0.0099985102289647
01036,48012_AM,0.001110945580996
01036,4801302,0.0022218911619921
01036,4801304,0.001110945580996
01036,4801306,0.0022218911619921
01036,4801307,0.0066656734859765
01036,4801308,0.001110945580996
01036,4801309,0.001110945580996
01036,48015,0.0177751292959373
01036,4802001,0.0044437823239843
01036,4802002,0.0055547279049804
01036,4802003,0.0033328367429882
01036,4802004,0.0044437823239843
01036,4802005,0.0111094558099608
01036,4802006,0.0366612041728707
01036,4802007,0.0066656734859765
