id,area,Y,M,O,total
18061_AM,442.95295774854304,1100,3776,1893,6769
18062,6.75104855062523,3203,8474,3021,14698
18063_AM,241.005336391527,856,2601,1659,5116
18066_AM,111.57193124116,1284,4449,2609,8342
18071_AM,107.748143320537,1742,4547,2416,8705
18079_AM,47.1002574637648,2217,6402,3140,11759
18084,11.894036479428,574,2795,2343,5712
1808701,8.419441368120928,4449,10766,3571,18786
1808702,5.44769361594376,11250,29423,11376,52049
1808703,10.331177025202098,14476,33459,9246,57181
1808704_AD,33.9029084602115,2408,5828,1882,10118
1808706,3.00520692345418,6511,15639,5320,27470
1808707,18.6929897489712,7212,16755,4659,28626
1808709,8.43581547522874,3723,8603,2348,14674
18088_AM,392.114834182088,944,2739,1533,5216
18089,324.84413750332,3273,10685,5930,19888
18093,31.0770545741771,683,2571,1889,5143
18094_AM,328.398005357453,944,2945,1934,5823
18098,474.193200459924,1286,3969,2527,7782
18099_AM,140.901844181654,886,2800,1429,5115
18100,40.0133002761067,1706,5994,3226,10926
18101,4.32020811526158,1870,5234,4621,11725
18102_AM,203.321036381852,2339,7278,3767,13384
18105,248.080294996296,768,2599,1774,5141
18108_AM,365.359436654648,924,2927,1588,5439
18116_AM,163.930280300459,1090,3172,1556,5818
18119_AM,226.94049100920705,1077,2654,1470,5201
18122_AM,459.645125729148,4700,12057,5285,22042
18127,4.9063126068843,3578,9574,8275,21427
18132_AM,322.538479653538,1161,4138,2774,8073
18133_AM,135.900911528137,1153,3469,1781,6403
18134,89.043039074529,1266,3866,2080,7212
18135_AM,346.642682397817,1759,4589,2026,8374
18136_AM,186.311824669971,865,2909,1686,5460
18138_AM,143.93759437260698,1658,4361,2424,8443
1814001,3.88359893444826,1391,3401,2226,7018
1814002,17.7453189731444,2428,6134,4050,12612
1814003,2.82083995918877,1100,2690,1760,5550
1814004,16.284644653600502,4877,11922,7803,24602
1814005_AD,69.2092543896755,2318,5740,3777,11835
18145,6.809430536395579,2320,8173,3472,13965
18147,134.396355502353,681,2345,2625,5651
18149_AM,103.824436247437,1680,4796,2895,9371
18150,89.3635552407321,1232,5025,2463,8720
18152_AM,513.501232045139,753,2319,1338,4410
18153,10.1682022785394,2124,6100,3037,11261
18158,93.103703554641,1423,5012,3876,10311
18162_AM,285.092404080922,931,2750,1479,5160
18164_AM,1099.48665578892,1044,3002,1951,5997
18165,6.354643740958649,1335,3114,1103,5552
18173,35.1003468245986,1601,6648,4706,12955
18175,38.2442207083646,3013,8423,3576,15012
18182_AM,276.58655524812104,883,2868,1411,5162
18184_AM,206.808031855648,801,2646,1880,5327
18193,19.8461793777384,2387,10462,6578,19427
18194_AM,273.709646140483,1246,3254,1187,5687
18903_AM,443.37604561775896,816,2348,1198,4362
18905,39.0991146216148,4243,10833,5720,20796
18907_AM,529.5248608916941,944,2645,1626,5215
18911,14.281374701144,2522,6236,2149,10907
19024,13.6538304907413,2990,6895,2557,12442
19046_AM,65.3676392986345,5703,18796,13286,37785
19053_AM,998.184024869815,1005,2863,1493,5361
19058_AM,66.7120539539306,2752,6929,3263,12944
19071_AM,98.8347165438019,2413,8014,5822,16249
19086_AM,2628.3245086316,847,2643,1459,4949
1913001,129.61920921269,3165,12272,4756,20193
1913002,6.76196182648384,3814,15462,5669,24945
1913003,7.020821479013071,2409,9766,3581,15756
1913004,74.20220498719699,2013,7708,3108,12829
1913005,17.895866159560402,1167,4396,1823,7386
19151_AM,1712.72036560826,1009,3001,1552,5562
19156_AM,1142.44744917584,916,2556,1134,4606
19160_AM,595.303544321039,1295,4010,2233,7538
19171,31.2348853942374,1661,3748,2140,7549
19190_AM,1879.86973919546,942,2897,1688,5527
19192_AM,329.575990618852,1132,3371,2032,6535
19220_AM,30.8315946861605,1239,2951,1300,5490
19245_AM,1160.1496084705,1092,3258,1818,6168
19257_AM,754.913696673146,1003,2886,1502,5391
19274_AM,256.700086302687,860,2670,1540,5070
19280_AM,59.2489889632536,1886,5069,1682,8637
19319,11.177651816153,1252,3830,1883,6965
19326_AM,61.7896766294474,941,2950,2053,5944
19331_AM,46.7562193883327,1041,3481,2321,6843
20005_AM,75.33903947766811,818,2437,1270,4525
20009,27.2419555989593,1932,8293,4567,14792
20010_AM,23.4810542081849,1008,2380,867,4255
20013,25.8062561471974,1040,4219,1661,6920
20017,54.9632189507592,1593,7427,2639,11659
20018,69.5136147040109,2288,7137,5003,14428
20019,30.1049868924654,1710,7865,4668,14243
20022_AM,117.765429885587,623,1742,964,3329
20025_AM,106.004514911323,1169,2904,1745,5818
20027_AM,50.2728686294147,780,2255,1591,4626
20028_AM,22.689254439849,745,2038,841,3624
20029,50.589419010582795,1056,4094,482,5632
20030,24.7777680903182,5708,16313,4944,26965
20032,38.8208713884528,1855,5809,4221,11885
20034_AM,54.3589141116703,668,2167,1353,4188
20036,29.5894719138727,3119,9391,4393,16903
20039_AM,87.69178115239819,1166,3676,2117,6959
20040,39.9639645876491,2955,10707,5908,19570
20042,5.13188942385836,823,2243,959,4025
20043_AM,93.9733344960834,1005,2637,1392,5034
2004501,0.487435045608369,1294,4474,1812,7580
2004502,28.377210217698803,2807,9704,3938,16449
2004503,4.2971698818950195,4578,15673,6412,26663
2004504,8.86771872826528,1848,6343,2569,10760
20049,12.2749748092841,829,3374,1254,5457
20051,42.3820191449114,1495,5061,1853,8409
20052_AM,94.5845429199698,626,1997,1077,3700
