id,area,Y,M,O,total
01001_AM,358.495702254284,1065,4747,3102,8914
01002,96.1526123784106,2470,5916,2117,10503
01010_AM,198.919890011614,1554,3583,1263,6400
01031_AM,367.683172036983,1143,3932,2584,7659
01036,37.4273879776011,3470,9970,4161,17601
01043_AM,504.044449771691,958,4100,2778,7836
01047_AM,366.162855470708,568,2152,1401,4121
01051,37.870227640410995,359,2710,2147,5216
01058_AM,177.26400996206598,1022,2438,938,4398
0105901,1.42283635335494,700,20306,15404,36410
0105902,7.89684873790711,1284,37237,28249,66770
0105903,3.92360095097097,973,28242,21425,50640
0105904,3.73075103634971,579,16809,12752,30140
0105905,8.53311977127062,975,28287,21459,50721
0105906,251.86349956466495,160,3115,2408,5683
01063_AM,224.58658353181,1180,2641,711,4532
01901_AM,318.58024274874504,556,3311,2482,6349
0200301,6.5226155265997,3103,10026,11936,25065
0200302,4.385991993223469,4730,15283,18194,38207
0200303,0.971405385935281,2441,7887,9389,19717
0200304,3.70367898922958,2374,7669,9130,19173
0200305,1.00044915735571,1963,6342,7550,15855
0200306,1.78982318824578,2068,6682,7954,16704
0200307,5.31280383409267,2983,9639,11475,24097
0200308,1119.19837002085,982,3323,3686,7991
02008_AM,1464.68910488022,598,2717,1790,5105
02009,532.675303986406,4190,15165,6237,25592
02010_AM,624.405950547233,607,3080,1580,5267
02012_AM,680.28436732154,485,2972,3203,6660
02021_AM,848.678668759191,729,3147,2016,5892
02024_AM,194.344744410767,612,3235,1664,5511
02025,141.811361520165,1340,4950,4632,10922
02029_AM,782.865101397412,554,3924,3880,8358
02030_AM,816.9285523446661,1196,3955,2196,7347
02033_AM,566.325257790663,1360,4152,3002,8514
02037,782.500264896743,2616,16636,11427,30679
02045_AM,276.462635492761,1373,4774,2888,9035
02053_AM,977.059924107875,1619,5197,2728,9544
02063_AM,612.657366329397,1056,3429,1493,5978
02067_AM,777.257762710807,421,2787,1815,5023
02069_AM,655.083506168937,2318,11391,7670,21379
02073_AM,259.60082119958497,826,3498,3338,7662
02074,325.393506118393,317,2738,5504,8559
02079_AM,401.364930963632,1297,4808,2661,8766
02081,863.578066670382,2532,15916,8552,27000
02086_AM,1212.55770218343,598,2627,1966,5191
03002_AM,137.22531264318002,597,2635,2487,5719
03005_AM,73.487390156859,1568,6721,6216,14505
0300901,0.57547108350014,493,2314,1479,4286
0300902,1.34642946839592,823,3863,2470,7156
0300903,0.726981596557281,816,3832,2450,7098
0300904,0.432718030857849,941,4416,2823,8180
0300905,0.655928787910926,826,3880,2480,7186
0300906,0.2992500549102529,621,2918,1865,5404
0300907,0.472687575164315,902,4236,2708,7846
0300908,125.560665987933,1707,5855,3132,10694
03011,19.3138349044246,1378,10892,6886,19156
0301401,1.95886280660622,2583,9780,8304,20667
0301402,1.55752031224995,4100,15521,13178,32799
0301403,2.75566749653297,6110,23132,19640,48882
0301404,52.356830293646595,9404,35730,30033,75167
0301405,1.98503689713415,3841,14541,12346,30728
0301406,11.2775497733412,6020,22921,19509,48450
0301407,5.6167681806583305,3578,13547,11502,28627
0301408,124.100335884996,4818,18464,15722,39004
03015,25.3239385268985,2636,11383,6860,20879
03018,34.486978208469004,1436,8632,12919,22987
03019,70.97205534643669,3133,9375,8213,20721
03021,50.3555373752519,1663,4252,1609,7524
03024,9.13167563608063,494,2371,2704,5569
03026_AM,38.243920569413696,575,2882,2214,5671
03028_AM,283.651872729316,1082,3175,1793,6050
0303101,0.804743466238272,2300,7618,6325,16243
0303102,12.082142584084702,2471,8187,6797,17455
0303103,7.79089156057439,2914,9916,8154,20984
0303104,17.682694161576,1442,4789,3981,10212
03035_AM,395.3991298457181,647,2713,1891,5251
03041,69.7680618622728,1650,6179,4023,11852
03043_AM,174.413739087138,1618,4357,1636,7611
03044_AM,16.321726174638698,874,4750,3149,8773
03046_AM,153.452346837151,789,3064,2395,6248
03047,23.5231003310542,2454,10938,8104,21496
03048,34.6581510800604,134,3116,3415,6665
03049,24.8813589065173,2298,10933,5625,18856
03050,55.3354788455446,4903,15987,7407,28297
03053,114.655536549332,1449,4733,4181,10363
03055,19.926660992584,1843,5535,2195,9573
03056,52.842447314577,1037,5433,5629,12099
03058_AM,36.41043834440461,1805,5831,4422,12058
03059,105.032990611763,2092,13853,12439,28384
03063,66.420632527283,5851,26047,11297,43195
03064,18.5986681961965,1160,3484,2807,7451
0306501,2.6097448056107697,2959,11343,14055,28357
0306502,4.47376651564701,3356,12867,15944,32167
0306503,2.24910907107386,3447,13214,16374,33035
0306504,1.26350541884011,3023,11589,14360,28972
0306505,0.853485217622892,3278,12566,15571,31415
0306506,1.01489284475504,2937,11258,13951,28146
0306507,314.308743922135,4583,17680,21004,43267
0306601,1.65677162299811,1510,3651,2077,7238
0306602_AD,41.6006230487685,1638,3948,2214,7800
0306604,1.92256559008988,5269,12734,7245,25248
0306605,0.686368566382086,2755,6658,3788,13201
03069,42.4966492142974,838,2920,2728,6486
03070_AM,18.944954947323,835,5384,3789,10008
03071,20.3586090037881,663,2582,2698,5943
03076,35.6480377873608,2070,6896,6881,15847
03077_AM,143.45629077968098,1287,3735,2716,7738
03079,62.8804799933698,1423,11102,10876,23401
03081_AM,76.0855427459005,684,3116,1912,5712
03082,68.7650025840434,4034,14279,8384,26697
03083,163.95113040147098,626,2964,3596,7186
03088,79.6286072377366,1910,4434,1408,7752
03089,152.562947893747,1511,7490,3459,12460
03090,47.9503891527618,7063,11582,6816,25461
03092_AM,76.92270328468659,2117,6006,3214,11337
03093,75.66687137927019,4863,14557,6393,25813
03094,21.3925283880185,1650,8968,8785,19403
03095,10.4103634845882,1220,3301,2675,7196
03096,48.3324584817033,668,4079,2951,7698
03097_AM,122.324908060929,658,3374,1800,5832
0309901,1.0620711588613,588,3492,2705,6785
0309902,0.71262855425582,946,6344,3787,11077
0309903,0.93089109206146,418,2801,1672,4891
0309904,1.19616140846703,780,5227,3120,9127
0309905,154.8035993243,2086,12608,7559,22253
0309906,45.0948255685983,1083,4709,2857,8649
0309907,112.069977129905,1166,4763,2597,8526
0309908,49.900523950010395,790,3699,2092,6581
03101,29.6175194075039,525,4271,2789,7585
03102,52.8978542718726,2290,7138,1413,10841
03104,104.522849504777,4862,17873,13003,35738
03105,126.636442712606,577,4152,3175,7904
03107,22.643728878232597,362,2505,2413,5280
03109,1.569527211046,737,2399,1218,4354
03111,9.47513123292964,450,4175,2740,7365
03113,27.570461412878903,1714,8604,6195,16513
03118,19.9517855935832,1239,3994,2574,7807
03119,9.74964661182845,2732,12064,8165,22961
03120,54.99748603496579,1313,2626,1970,5909
03121,58.2396076999033,2771,19381,10815,32967
0312201,1.3233722802655798,2043,11237,10829,24109
0312202,0.741306763590447,1023,5628,5424,12075
0312203,38.3243282874687,1522,8319,8009,17850
03123_AM,125.347964389429,2875,6218,2614,11707
03128_AM,45.048446380062806,1557,7325,6166,15048
0313301,22.8512405554186,3343,13000,7105,23448
0313302,40.9086663087372,3468,13444,7190,24102
0313303,7.7509924657669,5367,20839,11366,37572
03138_AM,11.8564230867422,1450,3377,3004,7831
03139,59.324070252008106,3110,17833,12593,33536
03140,345.837576274607,7442,17632,10315,35389
03902,78.0943231276528,2211,8410,12770,23391
03903_AM,51.0849984103984,1284,5188,1702,8174
04003,90.24024755710192,4680,12044,8700,25424
04006,168.699756757899,615,8096,2985,11696
04011_AM,190.420760241043,863,3263,1355,5481
0401301_AD,0.6618012151974589,769,4309,4232,9310
0401303,26.2497636307569,932,5213,4953,11098
0401304,0.27186080503603,539,3021,2967,6527
0401305,10.1906968154098,1061,6264,6091,13416
0401306,12.1317757340604,4873,28704,27919,61496
0401307,33.3282122518907,5672,31763,31196,68631
0401308,214.07870485260295,1368,7633,7483,16484
04016_AM,319.53508164116903,958,4868,3046,8872
04017_AM,182.054342030478,1290,4903,2044,8237
04024_AM,62.7609220176512,1495,5147,2266,8908
04029,186.110731448675,3760,8218,1735,13713
04031_AM,250.14471928275495,1916,3949,1713,7578
04032,95.6473524117507,361,3661,4558,8580
04035,265.276458829503,1145,6967,5928,14040
04038_AM,173.42865276375,1062,4553,1238,6853
04045_AM,381.315784512946,908,3048,2421,6377
04047_AM,159.26057512471198,985,2844,1425,5254
04049,7.69403645215825,1596,4776,2218,8590
04050_AM,553.364451898144,691,2697,1990,5378
04052,20.9619417499858,1131,8325,7771,17227
04053,318.23849449378,1921,10439,6973,19333
04057_AM,499.018285634309,901,3379,2235,6515
04062_AM,103.126091819264,808,3592,2345,6745
04064,71.7048410904591,998,3137,2359,6494
04066,600.908477253529,3069,15493,10765,29327
04069,23.548366686001906,818,4202,1765,6785
04070_AM,442.0227102702541,786,3199,2079,6064
04075,94.88758426421673,1387,5260,2558,9205
0407901,19.987819961013,3933,19045,15079,38057
0407902,40.0382062471764,5829,28217,22203,56249
04088_AM,662.57198008595,825,3313,2149,6287
04092_AM,449.923865521998,758,3630,2912,7300
04093_AM,519.932503168539,1112,3547,2734,7393
04098_AM,865.61725583973,548,2639,1796,4983
04099,282.479381466206,782,3427,2879,7088
04100,58.1087824011411,4221,7778,3738,15737
04101,20.670277987932906,595,2425,2830,5850
04102,64.45452754842499,3435,14465,7494,25394
0490201,226.316844413265,19656,42689,24318,86663
04903,23.9058687867643,2685,4585,1290,8560
05002_AM,114.062386883718,632,2554,1727,4913
05014_AM,198.223967641638,1519,3874,1477,6870
05016,45.718537384250205,1578,4308,2479,8365
0501901_AD,56.4155236997559,2195,5006,1878,9079
0501904,49.0325767128219,4730,10854,4345,19929
0501905,3.18135715632663,2653,5788,2086,10527
0501906,122.332326768407,4453,9902,3605,17960
05021_AM,619.1361402194001,862,3111,1629,5602
05047,214.148721258449,826,2284,1129,4239
05054_AM,312.57409679189095,863,2879,1848,5590
05057_AM,529.011028992923,1153,3878,2840,7871
05114_AM,566.867676729781,753,2955,1901,5609
05132_AM,262.896681449685,663,2805,1951,5419
05163_AM,483.64488660221,778,3631,2720,7129
05168_AM,184.139882409226,1120,3194,1266,5580
05186_AM,819.106929962698,716,2695,1643,5054
05204_AM,686.444709201887,934,3318,2006,6258
05220_AM,1114.04304753783,626,2436,1785,4847
05238_AM,957.049968818662,639,2940,2253,5832
05240_AM,127.054885976998,743,3282,2391,6416
05241_AM,98.5327452711244,662,2720,1371,4753
05242_AM,494.574703485348,805,2710,1533,5048
06002,63.1549324668942,632,3158,1895,5685
06005_AM,284.781515431171,1156,3552,2560,7268
06006,724.272572488695,762,2279,2811,5852
06011,164.564912772081,4655,17039,12098,33792
06012_AM,73.60813622376169,1463,3312,1983,6758
06014_AM,840.8139217105679,2190,6053,3298,11541
0601501,1.12213608680537,1781,4581,2927,9289
0601502,2.32860282455223,1632,4198,2682,8512
0601503,14.5689404987548,3359,8639,5519,17517
0601504,375.802973268407,4189,10729,6880,21798
0601505,0.657337876847235,1800,4646,2956,9402
0601506,6.16816001370944,1314,3379,2159,6852
0601507,96.5242239642607,3902,10050,6492,20444
0601508,858.224305934605,2757,7300,4443,14500
0601509,76.23851463086399,3767,9757,6216,19740
0601510,11.2619954587675,2860,7355,4699,14914
06016_AM,208.232322598797,660,2740,2481,5881
06019_AM,915.039539717702,1199,4027,3214,8440
06022_AM,458.061907980179,976,4526,2749,8251
06023_AM,894.1399751162539,1277,4609,2778,8664
06025,7.84090636852421,1248,3389,1829,6466
06028_AM,501.5743584123881,1330,4826,3557,9713
06036_AM,689.659124179825,794,4376,3595,8765
06044_AM,655.985933615928,5486,20814,13177,39477
06050_AM,431.131827321319,1486,4794,2346,8626
06052_AM,304.153871167277,785,2841,2678,6304
06054,179.976430050709,648,3457,2851,6956
06055_AM,346.90129095185296,1036,3347,2433,6816
06060_AM,335.358153214576,1291,5663,3216,10170
06063_AM,1034.41332284977,1139,4120,2553,7812
06066_AM,442.27611852362105,888,3204,1843,5935
06069_AM,510.76252592509104,802,3356,1636,5794
06070_AM,750.287002308468,1708,5908,3845,11461
06072_AM,89.6105361432386,957,2681,2037,5675
06074_AM,459.751037894112,984,3339,2345,6668
0608301,0.668901040130658,534,3018,2292,5844
0608302_AD,4.89393714291583,495,2761,2389,5645
0608303,33.752200837462,1665,7346,5288,14299
0608304,568.238708676538,2146,10690,7754,20590
0608306,259.682803681113,1614,6676,4570,12860
06085_AM,605.609029672961,1211,3680,1833,6724
06088_AM,191.168916928186,3500,12447,6135,22082
06091_AM,387.8192345208979,1807,4882,2251,8940
06093_AM,224.439312247558,545,3767,1996,6308
06094_AM,522.499468406362,699,3313,2020,6032
06095_AM,503.776936805605,3243,8916,4603,16762
06103,14.280960353795,1304,3038,2195,6537
06108_AM,390.685134922405,923,3689,2459,7071
06109_AM,571.797446933648,2219,6173,2949,11341
06113_AM,382.41070197674503,522,3031,2560,6113
06117_AM,270.564987216131,508,2572,2211,5291
06120_AM,222.782603853297,1276,4492,3053,8821
06121_AM,275.834507295236,917,4799,3369,9085
06122,108.791780612504,1530,4138,2662,8330
06123_AM,345.175397920874,532,4286,3171,7989
06125_AM,868.266187800495,699,2767,1873,5339
06127_AM,870.1154562812969,1363,4175,2443,7981
06128_AM,120.290184383721,1831,6395,2410,10636
06149,104.555327607993,2591,6671,4424,13686
06153,153.05968719617,3604,14419,8186,26209
06154_AM,406.003128939236,1006,3148,2158,6312
06155_AM,353.27545617707904,1132,4647,2619,8398
06158,62.6553063175172,1718,8117,6974,16809
06162_AM,167.64351783107,1006,3915,2529,7450
07001,45.7586038395818,779,2882,2297,5958
07002,109.984571324831,2768,5326,1240,9334
07003,60.0691136742012,2418,9327,8751,20496
07004,89.88333248962981,946,3578,1773,6297
07005,81.5200446181537,637,5836,4916,11389
07006,139.926064877723,1952,4521,1496,7969
07008,29.8148868814292,644,3760,4013,8417
07010,84.849646641026,617,3416,3441,7474
07011,145.203771110418,7293,26203,15890,49386
07012_AM,42.9736053409513,526,2142,1206,3874
07013,149.91031045477,991,4858,5512,11361
07014,55.0325729347213,1357,6288,4472,12117
07015,186.209474781005,3661,11523,14270,29454
07016,13.7041166344258,280,2066,2104,4450
07020,35.3326472272056,544,2277,2100,4921
07022,170.03029788499,1784,7572,8466,17822
07023_AM,97.574127198142,1093,3332,1778,6203
07024,78.7015673887944,1369,7076,3956,12401
07026,11.1834266931271,5984,21261,21532,48777
07027,58.3867925223825,6096,19665,5283,31044
07029,12.1167283381305,1017,3053,1852,5922
07030_AM,65.5382442422565,420,2335,1780,4535
07031,327.761919192988,9910,20846,6214,36970
07032,117.187092734931,6632,16226,5394,28252
07033,260.558794222235,4773,25603,10374,40750
07036,54.3064198189646,4461,17169,14909,36539
07037,138.146279662875,776,2137,2127,5040
07038_AM,79.75725955414221,925,3020,1807,5752
07039,58.7508698940697,365,4399,2458,7222
0704001,13.401372341388,1575,11291,8665,21531
0704002,34.322087933397,8130,57573,44070,109773
0704003,48.7724196194987,6586,44551,34391,85528
0704004,100.847460490788,10388,73414,55967,139769
0704005,9.78594428699259,2731,18507,13994,35232
07042,151.622858295128,1127,10961,4535,16623
07043,87.0383763876274,765,2267,2426,5458
07044,48.6384586629287,2056,9301,2265,13622
07045_AM,132.078908688323,719,3125,1819,5663
07046,126.875093845545,2333,11038,12234,25605
07047_AM,73.1822633379361,636,3338,1732,5706
07048,159.241748711081,1672,14198,11160,27030
07050,121.681568453888,858,3125,2456,6439
07051,82.21724850403041,1397,4970,2837,9204
07052,34.6693684397338,953,3688,2537,7178
07054,153.797642442128,4913,20911,11120,36944
07055,86.6621204238159,1065,5738,5735,12538
07056,37.6615312069103,1440,4396,2193,8029
07057,124.745487129606,3393,6994,1498,11885
07058_AM,227.821175581511,1045,3151,2250,6446
