name,id,idx,Y,M,O
Andalucía,4109101,2309,0.72,0.96,4.32
Aragón,5029702,2825,0.48,0.64,2.88
Principado de Asturias,3304411,1929,0.12,0.16,0.72
Canarias,3803802,2141,0.12,0.16,0.72
Cantabria,3907502,2193,0.12,0.16,0.72
Castilla y León,4718601,2678,2.4,3.2,14.4
Castilla-La Mancha,4516801_AD,2493,1.8,2.4,10.8
Comunitat Valenciana,4625001,2628,0.96,1.28,5.76
Ceuta,5100101,2838,0.012,0.016,0.072
Melilla,5200102,2845,0.012,0.016,0.072
