id,area,Y,M,O,total
3302405,14.3274673027719,7602,17814,5236,30652
3302406,2.18479287757087,8010,18771,5517,32298
3302407,3.08111491061198,15710,36814,10821,63345
3302408,2.28972686584885,7362,17252,5071,29685
3302409,154.726512873639,6431,15090,4481,26002
33025,81.15469204191909,1302,5933,3495,10730
33026_AM,284.86193154929697,2872,6984,2665,12521
33031,82.659268233511,8174,21562,9873,39609
33032,131.042178416599,3091,6824,5065,14980
33033,315.664124262151,1187,5955,5089,12231
33034,353.42008418439195,2426,7352,3397,13175
33035,105.44543852377,2805,7315,4367,14487
33036,263.412276318407,3812,9081,1875,14768
33037,146.152352358342,6721,21194,10726,38641
33038_AM,141.673611081704,1513,3868,1632,7013
33040_AM,192.970866016537,2453,5921,1662,10036
33041,63.3837096683832,1668,4744,2053,8465
33042,5.5524397660546,1192,3142,1200,5534
3304401,0.423563485262996,1007,3743,2513,7263
3304402,2.5808731681922503,1347,5004,3359,9710
3304403,1.82864921482547,2217,8238,5530,15985
3304404,5.70964610016319,2682,9758,6426,18866
3304405,1.90493265407877,2345,8711,5848,16904
3304406,4.90293222489251,4834,17959,12056,34849
3304407,0.370311471228372,1363,5065,3400,9828
3304408,3.1951665788749,2620,9733,6534,18887
3304409,2.73373094448068,2743,10192,6842,19777
3304410,1.17961869739492,2517,9351,6277,18145
3304411,0.564196026435323,1169,4343,2915,8427
3304412,11.6355856880862,2494,9280,6272,18046
3304413_AD,58.4223515970477,694,2579,1752,5025
3304415,38.7255199979022,514,1835,1210,3559
3304416,52.0548936596977,680,2499,1671,4850
33045,126.090896071359,1391,3183,1319,5893
33049,284.21668569534,1867,4454,1614,7935
33051_AM,175.237336260311,2322,6113,3132,11567
33056,84.39695294182751,1447,3172,1721,6340
33059,226.699576232208,1541,3267,923,5731
33060,56.1939943718096,4317,10108,2129,16554
33066,210.640552340029,12546,29964,9830,52340
33069_AM,43.6712150431332,1449,3298,1431,6178
33070_AM,191.947575210504,1910,4334,1529,7773
33072_AM,990.516029880425,815,3936,2477,7228
33073,541.96147448306,2473,5240,2123,9836
33074_AM,316.235581922499,1169,3052,1235,5456
33076,275.866231896133,4291,10086,2597,16974
34004_AM,336.48466678024204,1449,4100,1836,7385
34017_AM,630.821285516958,1241,3082,1031,5354
34022_AM,911.686594355607,1112,2957,1142,5211
34023,14.2578850178194,1298,2897,2036,6231
34047_AM,493.79050858467104,1359,3081,1089,5529
34056_AM,923.5883346614652,1190,2851,1249,5290
34069_AM,511.777997535809,1197,2934,1380,5511
34079_AM,134.789433923626,1323,3391,1600,6314
34080,62.843092730142,934,3808,2021,6763
34083_AM,697.555455525508,1176,2912,1105,5193
3412001,0.2268349632398739,451,1961,1692,4104
3412002,69.3239484657576,509,2150,1825,4484
3412003,0.214791559288533,549,2388,2061,4998
3412004,1.66257240044523,1103,4793,4136,10032
3412005,10.3126367086436,2559,9832,7791,20182
3412006,9.36059474640627,1241,5049,4202,10492
3412007,3.88144314313502,2568,11159,9630,23357
34123_AM,741.3079040317219,1077,2559,1025,4661
34157_AM,519.677127794488,1445,3428,1303,6176
34199_AM,1086.30804833101,1230,2968,1095,5293
