name,id,idx,Y,M,O
Comunidad de Madrid,2807901,1573,6.0,8.0,36.0
Región de Murcia,3003002,1767,0.12,0.16,0.72
Comunidad Foral de Navarra,3120101,1821,0.48,0.64,2.88
La Rioja,2608903,1455,0.48,0.64,2.88
